Country or Area,Year,"Undata Carbon Dioxide (Co2) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Greenhouse Gas (Ghgs) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Greenhouse Gas (Ghgs) Emissions, Including Indirect Co2, Without Lulucf, In Kilotonne Co2 Equivalent ","Undata Hydrofluorocarbons (Hfcs) Emissions, In Kilotonne Co2 Equivalent","Undata Methane (Ch4) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Nitrogen Trifluoride (Nf3) Emissions, In Kilotonne Co2 Equivalent ","Undata Nitrous Oxide (N2O) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Perfluorocarbons (Pfcs) Emissions, In Kilotonne Co2 Equivalent","Undata Sulphur Hexafluoride (Sf6) Emissions, In Kilotonne Co2 Equivalent","Undata Unspecified Mix Of Hydrofluorocarbons (Hfcs) And Perfluorocarbons (Pfcs) Emissions, In Kilotonne Co2 Equivalent "
Australia,1991,279528.510123286,425686.444956654,,1424.68352,124199.251540457,,15683.9143938991,4610.74329393256,239.342085079776,
Austria,1991,65765.655960561,82711.1564135882,,3.25872,11199.9213641497,,4037.4885337374,1071.83620368,632.995631460075,
Belarus,1991,104071.65587819,139713.443296395,,,19739.7590855256,,15902.0283326791,,,
Belgium,1991,123362.626314519,148579.581285293,,,12855.2717454567,,8831.88131321568,1947.00799,1582.79392210096,
Bulgaria,1991,61456.3428917743,80843.2184225299,80931.6356503918,0.00285051,13462.7327372513,,5920.11179252205,,4.028150472165,
Canada,1991,450159.602215421,582031.22167029,,1056.6608,85490.8008552617,0.315783686724,33605.4894659395,8033.11321531272,3685.23933466788,
Croatia,1991,16985.2488597416,24818.23437923,,,4661.53213163526,,2394.10947885311,766.409688,10.934221,
Cyprus,1991,5133.20507168247,6076.34944153024,6080.87324153024,,791.347981011437,,148.425922699951,,3.370466136385,
Czechia,1991,148883.273374256,180859.665428429,182629.007092437,,25429.833263468,,6459.90206953439,,86.656721171005,
Denmark,1991,65364.9481987375,82432.9957387425,83604.4071192862,,9393.40183813724,,7611.70682686774,,62.938875,
Estonia,1991,34147.1620631506,37402.7145615052,,,2077.99022240648,,1177.51260869813,,0.04966725,
European Union,1991,3808218.1432339,4755619.49767636,4761867.85835277,12434.4058635569,627352.442936245,23.4095605492,272644.93652222,19959.3769288032,10421.1698520851,4565.612779
Finland,1991,55188.7528481182,69041.4492641133,69197.1952522843,0.0334211822212,8592.7518818771,,5218.29595372183,0.22037899757129,41.394780216435,
France,1991,424117.582771393,566897.426163017,568514.884564135,4850.62897897466,79823.5213727624,16.9695605492,51455.3678452803,4344.33967061945,2289.0159634384,
Germany,1991,1016870.29143817,1205064.57944026,,38.689096604,126230.500363625,6.44,50073.9806892557,2387.4795,4891.5855736,4565.612779
Greece,1991,83407.4983800825,104006.31326457,,1173.04,12513.8569027114,,6736.87441837594,171.9319284,3.111635,
Hungary,1991,69701.9381994529,88674.8400523397,,13.7597858405172,13586.2782123443,,5068.27648081894,290.703520677385,13.883853205645,
Iceland,1991,2103.61396483679,3475.78996724559,,0.62991539767,712.135854930674,,288.880870293846,369.24743678661,1.281925,
Ireland,1991,33674.30740013,56553.4628038659,,0.63984,16513.9617622511,,6315.53164701845,8.960529,40.06162546624,
Italy,1991,438385.65376731,522696.666331784,,376.47,55980.6004836795,,25252.3008415178,2257.61910410688,444.02213516943,
Japan,1991,1168897.27554225,1283796.29418803,1289097.86290837,17356.7944767542,43880.709274968,32.60985386694,31900.8755606991,7521.98713051031,14206.0423489773,
Latvia,1991,17920.6964668989,24132.7419361837,24171.1278879159,,4007.84707958508,,2204.19838969971,,,
Liechtenstein,1991,206.329151456906,237.173310803366,,0.00588221700509,21.4654985871698,,9.372704555593,0.00007398669288,,
Lithuania,1991,37820.3768786101,50100.6925416165,50135.3196643266,,7589.60395721401,,4690.71170579236,,,
Luxembourg,1991,12434.9253663478,13353.277272258,,0.0010692986535,680.123144740309,,237.222234444393,,1.00545742687,
Malta,1991,2271.84344686527,2480.06842086016,,,148.798946547815,,59.4150764470698,,0.010951,
Monaco,1991,98.6242901059851,103.311959623163,103.54459201535,0.03767685094829,2.040297977156,,2.52744014298958,,0.082254546084,
Netherlands (Kingdom of the),1991,171110.62376682,229711.988543285,230597.977132268,3658.062,36181.1775754152,,16256.0849801036,2376.46122094565,129.579,
New Zealand,1991,26182.4702914646,65688.4317507218,,,32800.7258950351,,5780.58369222213,903.789872,20.862,
Norway,1991,32851.0730772183,48339.0393713008,48955.0740613908,1.20747267164,6828.33577032759,,3508.06252683781,3106.006500906,2044.35402333944,
Poland,1991,373622.773928066,463180.041536488,463502.252959403,,65671.8075127129,,23758.4903025395,126.96979317,,
Portugal,1991,47097.0857086573,61397.4879096403,61473.2624600393,,10872.7866313732,,3427.61556960969,,,
Romania,1991,142208.209838554,210408.328362197,,0.2606255802382,51199.438725976,,14677.604740613,2322.30398976,0.510441714,
Russian Federation,1991,2406755.7222703,3005319.39641106,,34229.660541312,416940.059426458,,129870.557751601,16191.0550559974,1332.3413653903,
Slovakia,1991,53286.4407927431,64343.4131488208,64429.9409729402,,7784.1593167926,,2994.35066228506,278.426187,0.03619,
Slovenia,1991,13973.3736124319,17447.8215392486,,,2726.73031155374,,621.44540451523,116.331710747682,9.9405,
Spain,1991,240230.72671899,295442.803116612,,2309.3759991072,39599.1457063849,,12255.7962544754,976.880463654803,70.877974,
Sweden,1991,57739.6347130259,71587.7823895106,,10.1834764594437,8287.86262605582,,4928.76196768953,515.495050043799,105.84455623607,
Switzerland,1991,46136.913693697,56818.2550036635,57215.4977857896,1.3715849847735,6440.51706403353,,4007.3822812547,88.5902052255877,143.48017446791,
Türkiye,1991,158126.31529011,226794.721341263,,,43377.4289281148,,24733.9918483633,556.9852746744,,
Ukraine,1991,632924.117931075,856425.622557928,,,175031.951045144,,48281.3353696946,188.199132516456,0.019079497824,
United Kingdom,1991,611180.125323394,815170.024045533,,12582.8257281605,146184.121457022,0.130122158082,42676.5281783077,1243.05334298279,1303.23989350844,
United States of America,1991,5062956.71779038,6418406.19028861,,34870.5400833543,874354.993104547,44.856823733932,397594.533621744,18825.7616338574,29227.7507006008,531.0365304
Australia,1992,284525.344620763,429473.084679731,,1333.184,123239.843554797,,15513.317791092,4603.282544266,258.112168812888,
Austria,1992,60266.150188901,76142.8090663892,,4.7185379877002,10893.4981180531,,3843.11873208253,458.903007,676.4204823649,
Belarus,1992,93482.9742442516,126031.217049931,,,18337.9466489137,,14210.2961567653,,,
Belgium,1992,122488.487966622,148077.745059968,,362.353867801761,12768.7039910165,,8586.53665592677,2122.96667,1748.69590860096,
Bulgaria,1992,57306.4637842003,75325.9232987062,75413.1375945648,0.00971063847,13072.4533979885,,4942.73462267956,,4.261783199395,
Canada,1992,464012.831694228,599242.66159293,,829.7768,89611.5046237305,0.307113224,34652.4455063393,7578.68311306546,2557.11274234271,
Croatia,1992,16369.2220425646,22932.5665893553,,,4146.8324009397,,2405.49097485099,,11.021171,
Cyprus,1992,5505.65586361504,6513.67456447651,6518.41396447651,23.0432955914193,816.304329965439,,164.661003259067,,4.01007204554,
Czechia,1992,145705.799291904,175034.846138206,176672.607377963,,23474.5515419247,,5766.46540283235,,88.029901544905,
Denmark,1992,59562.4826445282,76517.5778514318,77659.5921899124,3.5574,9495.60366659121,,7366.95726531236,,88.976875,
Estonia,1992,24421.0375340549,27215.5146967478,,15.9210727,1798.01968042007,,980.443283479028,,0.09312609375,
European Union,1992,3682599.38614028,4605654.43602338,4611658.68218854,13869.8832098585,611826.573517838,25.10651660412,264856.761510674,16707.0211640674,11217.0498730562,4552.654091
Finland,1992,54265.0554531443,67681.5439449104,67831.2302372143,0.04702837855438,8538.87650332195,,4850.84372252467,0.26216888320699,26.45906865767,
France,1992,414465.477632533,557279.937895792,558874.667995712,4131.27714484074,79955.7343925787,18.66651660412,51950.9725331497,4428.82103914944,2328.98863693635,
Germany,1992,969474.183105337,1155625.63519528,,258.891326411,122193.125566051,6.44,51576.6203571594,2165.10375,5398.616999325,4552.654091
Greece,1992,84975.6537122107,105287.655817891,,962.736,12588.5815791361,,6588.64732404418,168.8303925,3.20681,
Hungary,1992,62348.0176035016,78847.2751718352,,23.19619632654,12341.211463149,,3953.46787819644,161.70628244244,19.675748219245,
Iceland,1992,2250.16618761429,3409.11910992991,,0.63747209916,714.573022890148,,277.862674500301,164.597827826004,1.281925,
Ireland,1992,33495.3151366727,56589.5575471421,,0.78368,16777.8781306992,,6252.56466922518,17.812368,45.20356254503,
Italy,1992,438770.955134979,521991.347959259,,426.446033722222,55749.3854043327,,24963.6345471365,1635.01195340549,445.914885682635,
Japan,1992,1178674.76183602,1295612.02033802,1300636.62501495,17773.1387459016,43812.1488318993,32.60985386694,32053.835716285,7629.70067781258,15635.8246762342,
Latvia,1992,14194.6461822899,19362.0248006642,19397.5564939799,,3456.22586575714,,1711.15275261718,,,
Liechtenstein,1992,206.950491057098,237.317763250394,,0.06572200758347,20.9584743755708,,9.3428426432372,0.00023316690472,,
Lithuania,1992,21168.4411297142,31026.9270965825,31061.7248867367,,6644.70173442483,,3213.78423244343,,,
Luxembourg,1992,12202.4743718351,13118.2870671219,,4.98903447646941,667.99385352031,,241.718226133278,,1.11158115677,
Malta,1992,2293.59661207401,2513.10651838169,,,156.992068155661,,61.0470671520231,,1.470771,
Monaco,1992,104.227787542822,108.956525352537,109.189484579442,0.07907383932256,1.887306805717,,2.67457996793492,,0.08777719674,
Netherlands (Kingdom of the),1992,170918.107260401,230151.104153319,230954.270602923,4711.904488,35721.5001810781,,16498.1005807525,2163.3351430875,138.1565,
New Zealand,1992,28166.7146608273,66834.9822946164,,0.286,32376.5348291645,,5807.66270462461,461.879,21.9051,
Norway,1992,33684.4227564501,46706.7671343936,47419.3146158436,2.586651999878,6924.23942410504,,3032.97380846388,2369.31112302,693.23337035472,
Poland,1992,364510.580063785,450856.635647953,451206.083249038,,64263.8984905859,,21961.1901742619,120.96691932,,
Portugal,1992,50920.1161526934,65243.1112822155,65324.9950122402,,10927.8502974451,,3395.14483207699,,,
Romania,1992,132011.248830075,194856.671446897,,0.40539519943776,47349.9958030037,,13877.7115060541,1616.84775936,0.46215320524,
Russian Federation,1992,1966504.81051126,2524618.04459633,,28192.1402495568,395283.327708852,,119308.089099832,14702.4273960593,627.249630764016,
Slovakia,1992,48886.8395023573,58624.7875036181,58710.212148874,,7022.54670157572,,2456.24882168505,259.108533,0.043945,
Slovenia,1992,13882.5823978109,17432.2593360153,,,2745.38624536592,,679.096866989081,115.229825849456,9.964,
Spain,1992,248631.804825248,304833.841457796,,2927.8880013764,40328.6597380246,,11949.0560702463,922.266070994445,74.166751906,
Sweden,1992,57567.2430185878,71252.6362254559,,11.7149964077849,8433.9293535465,,4784.17433388688,349.849281075452,105.72524195147,
Switzerland,1992,46018.556386258,56567.8955850467,56938.7970939641,14.5526463463127,6364.34466865653,,3952.17851204257,72.5298306865163,145.733541056735,
Türkiye,1992,164064.875882643,233132.48256893,,,43288.202232832,,25259.6500141361,519.7544393184,,
Ukraine,1992,589282.824374167,801274.591918492,,,167120.335584975,,44729.0502890405,142.351143112439,0.030527196564,
United Kingdom,1992,595547.681984006,794899.520492862,,13102.5562034705,146004.779544641,0.154129696266,38257.2407213653,617.640551647897,1369.46735803468,
United States of America,1992,5174227.50657907,6534880.12658491,,39830.6583327549,874449.600461164,44.856823733932,398820.03463565,17539.6936955162,29432.3452754224,535.4307816
Australia,1993,288870.536763404,430381.730656997,,1829.872,120116.183306004,,15972.7416666699,3315.52837602798,276.868544891196,
Austria,1993,60692.1276703096,76517.8640177097,,214.874047015042,10937.0334773225,,3849.66194979283,57.32154,766.845333269725,
Belarus,1993,80561.8153575714,112296.433520699,,,17482.150450699,,14252.4677124285,,,
Belgium,1993,121423.876031743,146896.933175588,,368.863818655951,12547.6829314078,,8830.18989867973,2042.6101,1683.71039510096,
Bulgaria,1993,58364.0237968376,74663.9507590587,74753.3910253275,0.02094275655459,11822.5956635052,,4472.80138933435,,4.508966624935,
Canada,1993,464554.170736093,601743.65443554,,,92593.8662741751,0.298442761276,34766.1919957753,7455.58343575616,2373.54355097922,
Croatia,1993,16806.4615444402,22930.422944862,,,4062.19152065843,,2050.63149076338,,11.138389,
Cyprus,1993,5749.29995864898,6800.58392392536,6805.31102392536,24.618956396142,847.165667795858,,174.849663129923,,4.64967795446,
Czechia,1993,140124.036575061,168323.668681759,169978.91857594,,22927.4484994037,,5182.96196874927,,89.221638545235,
Denmark,1993,61649.8253120355,78670.8638366342,79795.8823230054,100.80397912275,9735.82505515295,,7083.44115282303,,100.9683375,
Estonia,1993,19438.7466744082,21751.6531158329,,18.3739370862071,1525.41520003737,,767.688219363599,,1.4290849375,
European Union,1993,3614210.87794697,4527256.34509856,4533165.14753016,15405.4909557331,605144.393290781,26.973168264532,259873.907778405,15955.9752156766,12091.856170725,4546.870572
Finland,1993,56313.3648421308,69915.1619113422,70058.4840016732,0.19534479033754,8584.88620868106,,4996.00706150941,0.35527770778803,20.353176522765,
France,1993,395700.956942667,536244.457971782,537749.134630898,2439.44896065953,80398.0429626578,20.533168264532,50952.6842618706,4363.19655525419,2369.59512040803,
Germany,1993,959367.197862509,1146306.67188712,,2268.27490091729,122908.958734814,6.44,49022.0325495255,2029.906157876,6156.99110948,4546.870572
Greece,1993,84284.9583294909,104828.025531625,,1702.8617755,12639.3646203138,,6095.98205602036,101.5613478,3.2974025,
Hungary,1993,63558.4094800917,79865.0419460984,,23.8886605425159,11959.08764172,,4117.92425581563,174.772034300736,30.959873627795,
