Country or Area,Year,"Undata Carbon Dioxide (Co2) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Greenhouse Gas (Ghgs) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Greenhouse Gas (Ghgs) Emissions, Including Indirect Co2, Without Lulucf, In Kilotonne Co2 Equivalent ","Undata Hydrofluorocarbons (Hfcs) Emissions, In Kilotonne Co2 Equivalent","Undata Methane (Ch4) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Nitrogen Trifluoride (Nf3) Emissions, In Kilotonne Co2 Equivalent ","Undata Nitrous Oxide (N2O) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Perfluorocarbons (Pfcs) Emissions, In Kilotonne Co2 Equivalent","Undata Sulphur Hexafluoride (Sf6) Emissions, In Kilotonne Co2 Equivalent","Undata Unspecified Mix Of Hydrofluorocarbons (Hfcs) And Perfluorocarbons (Pfcs) Emissions, In Kilotonne Co2 Equivalent "
United Kingdom,1997,564846.400844761,754225.940996463,,18356.1080046855,135013.995930201,0.359386407954,34250.4705327004,446.941273581582,1311.66502412525,
United States of America,1997,5688142.51102466,7079206.86333518,,80544.2060633267,845140.466310385,90.959100065162,421073.21185392,16437.3962432708,23891.184110946,3886.9286286
Australia,1998,334075.978110115,472145.831804056,,660.920603864741,117834.999257818,,17673.2076171566,1660.51882000668,240.20739509454,
Austria,1998,66920.029989044,82012.9004003456,,564.813118775743,9649.95785589969,8.827483636349,3922.41307914233,50.2695924480621,896.58928139945,
Belarus,1998,60073.44750311,87757.9280110422,,5.0432459947537,15526.2315157759,10.72764,12118.9915143679,18.680237793756,4.806354,
Belgium,1998,130223.497181059,154012.885026413,,813.745906853522,12174.4377802763,,9707.21173869448,788.687234190918,305.30518533934,
Bulgaria,1998,53115.1474505208,65356.7905435939,65441.7426977946,12.7194421481944,8998.54532646603,,3224.40102025235,,5.977304206515,
Canada,1998,530276.272725559,682434.829866047,,1620.11150727323,107494.102714927,0.255090448,34210.424242564,6476.18146706039,2357.48211821587,
Croatia,1998,19011.1691261022,24667.9112491295,,34.809401403933,3726.43267494906,,1882.09696267429,,13.403084,
Cyprus,1998,6592.48800837115,7754.8964617012,7760.6949617012,47.3813618769702,917.447647262224,,189.731736690852,,7.8477075,
Czechia,1998,125608.818384632,151034.594195379,152468.537119514,529.342062016024,19653.1558687785,,5143.84387066617,1.54274261797075,97.891266668715,
Denmark,1998,62436.4397287566,79455.9379390483,80409.8556170316,501.275719738337,9769.43148147216,,6677.65845992349,11.565823675,59.56672548271,
Estonia,1998,16940.74606132,18992.0410697414,,49.3855666324836,1380.72086126396,,618.243572568625,,2.94500795625,
European Union,1998,3651592.59513635,4535002.6146657,4540461.70645991,36889.1461808394,571539.310731765,73.48146883553,246786.726056028,12723.4603511339,11680.9033097638,3716.991430984
Finland,1998,59351.4594744727,72727.1829685333,72842.2544799953,431.854401059789,7868.40598689608,,5033.780223634,1.87247070357741,39.8104117672,
France,1998,423036.80863324,559284.260087616,560815.717325253,4008.47507641538,79237.2201034068,19.802225175586,47253.6415425208,3051.80943265809,2676.50307419935,
Germany,1998,923466.992547199,1077604.05210879,,4526.17584084564,101789.292874879,7.098758387,36438.5074609761,1613.7066074724,6069.71488483,3692.5631342
Greece,1998,98621.792697393,122993.733304692,,4856.97323237774,13279.7233739177,,6091.66709761391,139.86390339,3.713,
Hungary,1998,61312.880743353,77784.4854353375,,85.7206223699884,11395.6110018926,,4662.54805586114,234.288541946035,93.436469914695,
Iceland,1998,2638.67800460933,3907.36326180171,,25.465406809238,754.426326329654,,296.567692405107,190.943906648385,1.281925,
Ireland,1998,40708.971449999,66292.4559922909,,141.323200026253,17937.3247473334,3.92297093027,7337.54870770278,71.859,91.505916299215,
Italy,1998,461646.72136902,550585.991346507,,1779.27401077477,57745.8157675617,33.830030706486,27439.3413537578,1209.1289835416,707.45153436085,24.428296784
Japan,1998,1204402.53811477,1330304.18655852,1334471.05065373,23749.4302696806,38321.5749169561,188.134668087492,33786.1775357514,16632.2298054833,13224.1012477999,
Latvia,1998,8306.99611000214,11576.3652909257,11603.7776956352,45.7955579230524,2265.75666761409,,957.285595946386,,0.53135944,
Liechtenstein,1998,229.23871251075,260.181789824779,,2.23876920339353,19.9576469942758,,8.74369545092715,0.00296566543248,,
Lithuania,1998,15997.0526200877,23912.6936008167,23947.9076619531,13.5489621296626,4755.48949138695,,3146.08082721239,,0.5217,
Luxembourg,1998,7663.25736073603,8590.87571649744,,20.9183417552977,670.851299709336,,234.054249005049,,1.79446529173,
Malta,1998,2524.93629618801,2787.66465364226,,0.00683576310424,199.089218095908,,62.1220525952459,,1.510251,
Monaco,1998,101.720365642315,106.947530763109,107.229145990767,1.05475285353583,1.1359226312575,,2.94655728864124,,0.08993234736,
Netherlands (Kingdom of the),1998,176237.573469202,233540.157429611,234140.260087411,9756.27010732723,29799.5151906421,,15518.6992982436,1964.73486419541,263.3645,
New Zealand,1998,29858.2072103913,71186.872496267,,148.206293206353,34478.1182372325,,6559.06579353464,118.417566666667,24.857395235592,
Norway,1998,40921.5848557271,53765.4445682869,54671.9264720069,246.113279911356,6965.09631319147,,3380.19651579373,1537.969098537,714.48450512627,
Poland,1998,339076.429880351,419389.768318886,419808.842168716,417.645737266,56425.0998537848,,23287.7302433248,158.18937022,24.67323393928,
Portugal,1998,59168.5955227472,75058.6990403694,75234.6866316857,200.427924331099,11961.2817427979,,3711.64593126301,0.43185859603846,16.31606063422,
Romania,1998,104860.487609022,168185.193785246,,22.7643243732195,49257.9052695244,,11984.0700406457,2058.59262258,1.37391910157,
Russian Federation,1998,1465253.45883514,1870018.30978955,,21834.3106066416,299329.058694425,,72638.8237124483,9865.51799669662,1097.13994419343,
Slovakia,1998,43827.2520959625,52118.3104867874,52197.016595206,50.7251699568227,5756.42571050782,,2444.70423922879,26.1670456314488,13.0362255,
Slovenia,1998,16039.042346302,19600.9288834434,,28.0902390104395,2680.79827351954,,724.693244455004,115.142430156386,13.16235,
Spain,1998,274604.895099545,342182.976276463,,7508.00371880339,44718.2543853672,,14343.0003968545,847.142581892457,161.680094,
Sweden,1998,58801.8346327937,72734.2326267256,,457.828601398852,8059.34236706545,,4922.12866845258,378.465245218504,114.63311179655,
Switzerland,1998,44613.7025445948,54784.0560865452,55040.9201235462,428.643425074668,5885.49684874287,,3677.18451933815,21.5183096459536,157.510439148745,
Türkiye,1998,212135.043126365,280318.958801664,,,42421.87482441,,25338.8832513347,411.2559995544,11.9016,
Ukraine,1998,328807.599729515,480913.020248364,,13.0193475573529,126023.187198675,,25948.3766977014,120.643618011429,0.19365690378,
United Kingdom,1998,570182.520385466,752806.842771218,,15373.8228930744,131171.187251971,0.413294369131,34283.0048348693,435.312141916741,1360.58196955202,
United States of America,1998,5733280.55049857,7124684.26812631,,97729.0419230263,830142.364807475,111.531867763953,422534.724011743,15279.1860539283,20986.234373406,4620.6345904
Australia,1999,343488.632899242,478136.874727016,,985.274631867224,114164.527759236,,18148.0916543943,1139.05875745416,211.289024822616,
Austria,1999,65671.3107393262,80455.150260117,,656.280883576227,9452.01111910417,7.709928571422,3899.1127257104,71.5907106220718,697.134153206495,
Belarus,1999,57965.5069650341,84261.445073428,,5.38084889487095,15168.7302856079,10.72764,11087.5902840974,18.680237793756,4.828812,
Belgium,1999,124681.140235207,147732.821135852,,887.947546016962,11905.5133935568,,9712.12173585333,387.448008261339,158.650216956295,
Bulgaria,1999,46318.4775021915,58274.2118714259,58360.1160976335,19.672482323763,8566.44857023938,,3363.2893288208,,6.32398785053,
Canada,1999,544482.078794017,694516.938251371,,2160.36452105141,108681.188555635,0.246419985276,31412.4956934741,5370.4650358691,2410.09923133865,
Croatia,1999,20022.3707866782,25955.2079978998,,42.050377199298,3787.12589823408,,2090.31314728828,,13.3477885,
Cyprus,1999,6858.74592240267,8032.28947093613,8039.93007093613,54.2932211473449,919.570421011346,,191.192592965614,,8.487313409155,
Czechia,1999,116671.891350075,141062.007515232,142387.887204041,635.899512399311,18686.7037470754,,4967.55054070374,1.08053100003472,98.881833979055,
Denmark,1999,59878.0891513257,76824.8917417232,77716.82903883,642.470598830946,9640.72569129748,,6582.81078451679,15.8693913075,64.92612444476,
Estonia,1999,15937.9877205623,17829.2412459538,,59.9571374870255,1287.04027251292,,541.288347391533,,2.967768,
European Union,1999,3596459.80461362,4458980.30452088,4464183.33890091,37854.445866557,563519.319726284,70.798284858784,236025.731298261,12351.3817776874,9108.30875802293,3590.514195584
Finland,1999,58866.894347879,72048.0063170396,72158.5749174246,526.278219025237,7651.81364269502,,4966.7658812191,4.55298964379403,31.701236577455,
France,1999,421812.88155472,554358.770437556,555854.190246371,5137.82798197683,79256.251790132,26.592699950663,41963.9923326225,3795.28534572343,2365.93873242997,
Germany,1999,895402.127914451,1043180.83206784,,4857.3065382502,100615.603679316,6.257533387,32963.0954898851,1348.8999065101,4421.45510724,3566.0858988
Greece,1999,97934.8147311808,122985.874989682,,5667.02971017563,13237.9018351096,,6047.54616633618,94.77554688,3.807,
Hungary,1999,61806.189263095,78248.0277276819,,175.062446953838,11430.9781398994,,4507.01771727241,254.411268775246,74.368891686095,
Iceland,1999,2841.36625000613,4123.13241545559,,36.9988970870346,756.312706325757,,303.56639534758,183.606241689087,1.281925,
Ireland,1999,42440.1828500454,67523.4087417356,,185.011660788789,17473.9361881965,3.545432170469,7123.04867282382,231.465477,66.218460710625,
Italy,1999,466393.428601034,556140.378580975,,2272.20214195912,57761.6951839096,26.69269077923,27975.4249533502,1210.11932110442,476.387392053965,24.428296784
Japan,1999,1241036.48882833,1353662.40349764,1357824.09060097,24375.035791542,37937.0316590275,315.26917107368,27659.817297743,13162.1440599143,9176.61669000149,
Latvia,1999,7718.81598003441,10790.3979567941,10817.0791459993,53.8192056804455,2115.58086976787,,901.452440631345,,0.72946068,
Liechtenstein,1999,226.566396560055,257.093718356953,,2.804153964918,19.1827798294185,,8.5303119429578,0.00537605960401,0.0047,
Lithuania,1999,13449.5957272832,21098.263467387,21133.5413740131,17.0377847517413,4517.46966570527,,3113.60388014678,,0.5564095,
Luxembourg,1999,8117.59131165744,9051.26628346274,,23.8906072731593,670.476735070654,,237.425302893099,,1.882326568385,
Malta,1999,2572.86532981423,2845.1082166351,,0.01024725581493,207.835088732605,,62.8872998324442,,1.510251,
Monaco,1999,102.434463722229,108.156623666277,108.431497805715,1.29513794771932,1.3911015703135,,2.94580451061178,,0.090115915404,
Netherlands (Kingdom of the),1999,170854.251943856,221071.11572631,221624.086684063,5079.48691965292,28369.6094309186,,14921.1918628677,1599.02656901511,247.549,
New Zealand,1999,31465.164061186,72975.4719898504,,196.023603059005,34599.4270835209,,6598.07929042071,92.2132666666667,24.564684997212,
Norway,1999,41655.6333024116,54741.3737615286,55682.6176062786,309.854248023838,6910.3889547812,,3568.94551210277,1437.328815873,859.22292833619,
Poland,1999,329266.197433128,407531.797123781,407951.714901491,581.28970112815,54736.8303580129,,22770.0682601033,153.187315045,24.224056363615,
Portugal,1999,66837.4533253354,83168.6368810499,83345.1079839438,280.519515810068,12228.0809700454,,3804.76737177102,0.78030056046156,17.035397527615,
Romania,1999,89010.0477402799,150290.071747149,,37.6193142012983,47955.8775919827,,11409.709234106,1875.284442999,1.533423580375,
Russian Federation,1999,1494178.83733577,1900503.71585635,,22671.8988162315,301362.032163904,,71751.8175289316,9596.90262557568,942.227385936168,
Slovakia,1999,43038.0917602008,50854.29384728,50931.0938172369,71.8230791092001,5652.92028095861,,2063.80286765189,14.6248273595406,13.031032,
Slovenia,1999,15412.4836630797,18985.9210376151,,28.3279218816383,2686.11453654814,,727.826886460865,115.331379644804,15.83665,
Spain,1999,298074.657691224,368362.637348547,,9279.23640391723,45406.2928780706,,14661.5328832625,769.123139049062,171.7943530235,
Sweden,1999,55981.609578095,69602.7871725382,,602.547306820068,7842.30024873473,,4642.86968449107,408.525307186446,124.93504721095,
Switzerland,1999,44436.9743016602,54585.7872872649,54827.5662407635,504.440185431281,5791.86084079705,,3679.28103926986,28.8090223640969,144.421897742415,
Türkiye,1999,207927.911600535,277776.799065881,,,43789.4827555542,,25636.4432321086,410.603877684,12.3576,
Ukraine,1999,298578.894557441,449769.062547532,,14.1424997308824,127287.580025725,,23786.3271928551,101.811091863657,0.30717991638,
United Kingdom,1999,562664.604487132,723801.608785613,,8525.73372262905,124864.525011363,0.475288524557,25800.3986530824,412.343805665879,1533.52781721541,
United States of America,1999,5803917.83403611,7169885.42798954,,96080.8089143708,812531.895753909,113.178019988572,416448.983848474,15218.8702647189,20717.3043329762,4856.552819
Australia,2000,349635.486902168,489528.649319222,,1252.65710130975,118052.17644461,,19088.8402585257,1287.06178871158,212.426823897804,
Austria,2000,66171.7196152302,80619.3618583405,,676.688295501741,9217.84581187168,9.8371,3871.49782224617,79.60613,592.16708349078,
Belarus,2000,54905.9829341753,81145.9213213495,,9.12683176598975,15093.4779528177,10.72764,11103.0887047968,18.680237793756,4.83702,
Belgium,2000,126721.543753436,148877.328201503,,1088.73111209743,11443.9432170105,,9071.02999599089,403.251066742732,148.82905622539,
Bulgaria,2000,45413.4574210433,57387.4587545191,57463.3534446965,32.6920301617908,8495.95725139827,,3438.66127276981,,6.690779145935,
Canada,2000,567096.100612269,719463.713686528,,2754.84203983593,110824.41525594,0.237749522724,30900.6448960827,4984.51347772728,2902.95965514968,
Croatia,2000,19660.0098865625,25653.6472635857,,50.760640434686,3734.9257999896,,2195.23440509886,,12.7165315,
Cyprus,2000,7104.59702326204,8306.44317319378,8314.04517319378,62.436007034613,938.336465320068,,191.946758258983,,9.126919318075,
Czechia,2000,127235.987122808,151139.209533758,152392.438981916,799.772994278663,17614.6994206362,,5372.59218373026,4.43146491512006,111.72634738968,
Denmark,2000,55641.4351909651,72662.4487868019,73501.2250685507,735.346906785527,9632.01565869795,,6572.24099847555,22.74635217675,58.663679701065,
Estonia,2000,15481.7246134727,17453.3388630341,,74.7379725589453,1323.80341028385,,570.380299874881,,2.69256684375,
European Union,2000,3607844.11457135,4446889.19627092,4452021.62429543,41220.14096236,542790.261814886,96.091134891633,233624.258867613,10484.89117638,8809.20590785006,2020.231835584
Finland,2000,57009.919492233,70136.6149734067,70244.9068547617,693.19545828551,7364.1863539836,,5039.29029830671,3.16358551114454,26.85978508676,
France,2000,416290.477578322,548714.50565015,550260.380824694,6328.37323462022,80044.7443625675,18.619550617276,41082.7014586084,2699.86894138021,2249.72052403527,
Germany,2000,898938.03601459,1040191.83073749,,5655.83821531692,96046.3943503297,8.3458375,32472.2019139797,877.6802567353,4197.53061024,1995.8035388
Greece,2000,102973.166536014,126659.454445937,,4460.64796443865,13244.4643591349,,5867.16545493331,110.085631416,3.9245,
Hungary,2000,58505.9870284458,75378.3128854641,,202.976159706207,11520.6000855398,,4810.75840368241,253.893874914461,84.09733317546,
Iceland,2000,2933.18952486257,4154.22859110637,,42.9882725468099,755.252356204154,,286.651685995609,134.794913997225,1.3518375,
Ireland,2000,45249.1102190884,69712.3824293479,,245.683993313356,16885.6137554483,46.0299,6871.19784834462,361.34151,53.405203153285,
Italy,2000,470524.118775355,559978.141724162,,2802.55230680471,57706.2945464038,13.258746774357,26923.2387169923,1363.28407514262,620.9662599057,24.428296784
Japan,2000,1263754.80022351,1373303.41954434,1377536.17131445,22858.3568995731,37285.6766251637,285.772616078876,30181.0190776701,11906.435171582,7031.358930755,
Latvia,2000,7082.57511623573,10167.782099937,10192.5663838414,62.1098700401615,2107.90280954182,,914.284012819332,,0.9102913,
Liechtenstein,2000,216.859998072712,247.629669807438,,3.52292392372673,18.6978816509988,,8.44977716726105,0.00908399274015,0.090005,
Lithuania,2000,11843.0346900038,19493.6458057542,19528.9950013065,21.4523974596564,4339.00737706371,,3289.40575672697,,0.7455845,
Luxembourg,2000,8703.61946799226,9634.99570256038,,28.3303806264563,665.016345302377,,236.044674622759,,1.98483401653,
Malta,2000,2468.15349774605,2749.71445334754,,4.63222913176748,212.90603086194,,62.5084496077798,,1.514246,
Monaco,2000,99.9859429419738,106.288901959943,106.546799024299,1.58687989813171,1.464692285991,,3.1611532918748,,0.090233541972,
Netherlands (Kingdom of the),2000,172016.285959378,219454.920260757,219986.479513915,4029.03732721897,27117.4373147209,,14334.3645407771,1723.17111866183,234.624,
New Zealand,2000,32245.5058554215,74850.4724680587,,244.663902142684,35368.2781042923,,6881.30408455665,91.1563666666667,19.564154978928,
Norway,2000,41121.2409746016,54074.1587032168,55070.2895054568,356.682633722615,6919.69449536801,,3393.8143797697,1364.080353945,918.64586580992,
Poland,2000,317452.222143855,393992.727436077,394474.582936351,1022.56640107331,52447.0096176575,,22886.2818175172,160.87257718575,23.77487878795,
Portugal,2000,65611.3765654333,82420.020263739,82586.1757892772,359.91275703143,12452.605149754,,3977.86204730579,1.14080779995316,17.122936414585,
Romania,2000,93334.0423629894,142238.310366946,,66.7558676774979,35995.7939910106,,11325.6876317975,1507.48369065,8.546822821055,
Russian Federation,2000,1479142.48261665,1895001.38446205,,26569.7581744847,304963.235169955,,73500.1402020067,9867.31369025133,958.454608704576,
Slovakia,2000,41138.7820362251,48986.2104538574,49051.6543136143,98.2015191602848,5414.10215473477,,2308.27714141404,13.4031348232285,13.4444675,
Slovenia,2000,15053.8481588365,18769.3808074452,,41.0525994560351,2790.01293212236,,752.35097316208,116.64139386817,15.47475,
Spain,2000,310071.242220982,383276.361038173,,10873.9030716798,46910.0455377982,,14784.5125392562,444.604764410269,192.052904047,
Sweden,2000,54930.0661496577,68349.111293118,,725.369755613046,7658.10941120221,,4574.92085593198,338.220800046467,122.42432066658,
Switzerland,2000,43614.1873189147,53839.3436848988,54068.9419776723,603.900073843422,5739.32941857841,,3670.79822145931,54.339652742997,156.788999359965,
Türkiye,2000,229936.65970433,298916.754702464,,115.656211508405,43667.2890116799,,24774.5653754403,409.2463995048,13.338,
Ukraine,2000,285674.209430741,427917.242123434,,15.7315887340818,118324.335085966,,23786.8078591231,115.737646737058,0.420512133792,
United Kingdom,2000,570546.475486487,723919.576159444,,6964.33310236022,118800.294622013,0.546581803313,25227.3450159765,518.656107626703,1861.92524317777,
United States of America,2000,6010135.92792397,7369162.97177156,,101050.225985654,809526.092211587,183.243456385073,411167.640165602,14366.1332691939,17993.8313091697,4739.87745
Australia,2001,357132.367483772,497352.025386861,,1685.15650770761,117110.619052842,,19403.2046525346,1801.88197415979,218.795715845796,
Austria,2001,70171.3185565547,84514.0472889202,,808.335124541953,9021.7376061709,9.8371,3748.03723921351,106.134552592896,648.647109846285,
Belarus,2001,54002.9815106187,79825.8580078974,,13.2181120515818,14990.8627743102,10.72764,10784.5370331232,18.680237793756,4.8507,
Belgium,2001,126066.062366324,147319.076859713,,1172.25297372862,10972.5966945724,,8724.28480671343,240.079404483986,143.8006138912,
Bulgaria,2001,48921.8562128329,60267.1822271732,60350.0994746802,46.2271244530878,7776.69009533048,,3515.32995022029,,7.078844336395,
Canada,2001,559147.040280918,710171.839839,,3159.2956287521,110703.555470685,0.22907906,30557.114055091,4047.50469697432,2557.10062751939,
Croatia,2001,20782.2966370768,26840.6908902176,,62.000650657928,3821.07337862016,,2162.51411036273,,12.8061135,
Cyprus,2001,6978.50030024507,8247.74741894943,8254.90081894943,70.908083156346,975.92292375296,,212.616414395052,,9.7996974,
Czechia,2001,127144.369367362,150760.152661183,151937.439592144,997.941713359019,16951.0122292252,,5555.82573198844,9.15258759037931,101.851031657485,
Denmark,2001,57356.1675893904,74398.1078605965,75213.2927539156,734.269406982082,9874.23981537876,,6375.75151752988,28.13310395863,29.54642735679,
Estonia,2001,15882.0951825074,17887.9998977996,,91.6553659714141,1362.69380664654,,549.826329202747,,1.72921347153,
European Union,2001,3664990.1787875,4495319.80158268,4500256.33936492,40814.8067795044,536404.26161685,76.951993109159,233530.391552645,9352.23960653999,8393.38304095126,1757.588205584
Finland,2001,62513.7328652532,75474.7847766339,75582.7376077119,764.472716199771,7218.16256657991,,4948.37684087509,3.72982621335452,26.30996151252,
France,2001,421348.585254351,554283.263082224,555770.210888986,7541.68343010391,80328.1212600483,26.626493055484,40765.6758211034,2388.89123720145,1883.6795863605,
Germany,2001,915242.151883378,1054869.07314941,,7002.54946562612,91917.7629477661,7.320133387,34300.0436519656,799.1202865114,3866.96487198,1733.1599088
Greece,2001,105361.862231588,127731.027939077,,4079.5038254962,12469.8092766019,,5740.05255443137,75.80505096,3.995,
Hungary,2001,60108.9847015425,77184.9789959791,,243.450790246376,11299.4292800484,,5210.87247112059,239.423505188965,82.81824783227,
Iceland,2001,2865.42654907452,4049.73440504037,,39.8262150475428,763.320764212812,,282.652234327072,97.156804878423,1.3518375,
Ireland,2001,47607.6198511006,71814.4543098089,,296.288306924574,17010.900101806,20.3826,6467.92067232372,344.67333,66.669447653985,
Italy,2001,470577.433110742,561839.953962776,,3706.2169725946,58154.2849833338,12.785666666675,27116.5186244231,1370.90718893725,877.37911929435,24.428296784
Japan,2001,1249162.12650461,1347561.42544713,1351355.7897589,19465.9716056743,36115.4460935372,294.812910487684,26551.6561207586,9905.395432059,6066.01678000183,
Latvia,2001,7497.43675343276,10760.0251823984,10784.2041805366,69.9932582511993,2207.6935474913,,983.47237296313,,1.42925026,
Liechtenstein,2001,214.671050081607,247.261563628024,,4.25515673909395,19.7042978707851,,8.4488379604064,0.01184597613113,0.170375,
Lithuania,2001,12593.7367044692,20266.1780780151,20301.5733188266,27.5569145882039,4242.02337036497,,3402.1848290927,,0.6762595,
Luxembourg,2001,9205.48933935096,10137.2613014716,,34.8643243289196,668.561131647332,,225.691489363414,,2.655016781015,
Malta,2001,2736.55868280562,3025.98739806987,,8.79596624698752,217.380879473646,,61.7164697836112,,1.53539976,
Monaco,2001,99.6445215863334,106.730470161819,107.006366079713,2.33428264566797,1.29614235965175,,3.31902733781748,0.04614558,0.090350652348,
Netherlands (Kingdom of the),2001,177146.20477914,220583.2030042,221064.266056136,1665.8843141222,26385.8745867922,,13513.9460421633,1625.31878198216,245.9745,
New Zealand,2001,34378.540330722,77755.7904508783,,332.185112434394,35725.7145686641,,7228.70340583474,70.6103,20.036733223044,
Norway,2001,42462.7271343161,55298.6177061343,56338.9005912943,452.378744628214,6907.86373876261,,3322.21238867324,1375.63161321,777.80408654412,
Poland,2001,313500.550390849,392522.968825081,393002.473749268,1504.78225745567,54294.3156943018,,23018.4098777288,181.351116133962,23.55948861205,
Portugal,2001,65152.4897296792,81939.9449433237,82115.687422816,462.271304559844,12449.9655947196,,3855.28046735027,1.5228907444667,18.41495627034,
Romania,2001,98987.9413128201,145982.343603848,,106.082623536027,34466.5107946507,,11177.4606488603,1230.280815006,14.06740897518,
Russian Federation,2001,1515647.1333769,1928619.95366506,,25208.8933269716,304587.769262954,,73060.3841693272,8993.20168501459,1122.57184388708,
Slovakia,2001,43224.196185653,51256.6309423009,51322.1494475739,130.291614977953,5259.5368950307,,2614.46530763905,14.4007710001322,13.740168,
Slovenia,2001,16302.7587601989,20040.5694995935,,55.9867962971906,2796.00053542606,,753.782696048141,116.20171162322,15.839,
Spain,2001,311808.516112188,382042.835761987,,8356.896181762,47223.7846216446,,14240.2401920037,245.213478718076,168.185175671,
Sweden,2001,55837.5794908189,69128.5346918188,,803.784943190739,7578.93775729388,,4449.78792182718,331.899967693667,126.544610994365,
Switzerland,2001,45080.9227855882,55364.2776783367,55578.9011083189,698.460607791267,5772.31042146469,,3623.93985407582,32.9828578503183,155.66115156641,
Türkiye,2001,213581.228972803,279740.137780514,,232.003643733401,42902.485767771,,22600.4935609025,410.770235304,13.1556,
Ukraine,2001,303891.28689964,445990.655048872,,29.0488003718357,116858.723732208,,25099.0525940409,112.079867800228,0.463154811684,
United Kingdom,2001,579678.142134175,727063.543113018,,7638.82274626573,113866.170194892,0.3334149,23972.1499308373,432.174682081671,1475.75000986611,
United States of America,2001,5907739.93538369,7253522.3079748,,98171.7849436475,801082.984387746,203.003355149777,416832.346493541,7460.35094301549,17275.3333132146,4756.5691548
Australia,2002,361540.810196808,501000.842687318,,2112.14652059314,115485.968550101,,19909.1989642037,1727.62315282097,225.095302791336,
Austria,2002,71974.9369149288,86267.5384679073,,957.242589382437,8864.23625737509,9.8371,3736.08823150723,93.0670775928955,632.130297120835,
Belarus,2002,53844.1436374234,79125.2757684391,,16.4126478782707,14918.6706126283,10.72764,10311.7827687154,18.680237793756,4.858224,
Belgium,2002,126863.01354222,147415.071775469,,1401.01906664452,10523.4769561045,,8416.45170593011,90.9479044839857,120.162600086255,
Bulgaria,2002,46099.3544566791,57719.8790545693,57800.129220979,60.9825930184372,8110.60421290763,,3441.44837465633,,7.48941730774,
Canada,2002,564373.835876444,715489.765496062,,3607.06766099863,110408.27156546,0.220408597276,30621.607147343,3462.95157744039,3015.81125977883,
Croatia,2002,21887.2991236445,27906.893556667,,82.58193365207,3833.94760335765,,2089.91831451281,,13.1465815,
Cyprus,2002,7169.42593847481,8482.31259085294,8491.52689085294,80.2776918306652,1003.66051834994,,218.494307397528,,10.4541348,
Czechia,2002,123969.963358599,146965.749430718,148107.8679702,1098.28438408073,16586.8889202263,,5170.44634596223,15.1668455629655,124.9995762863,
Denmark,2002,56924.5833175696,73871.1521321797,74641.5422610406,759.105982586452,9825.9004717323,,6308.52037070744,28.23507756339,24.806912020545,
Estonia,2002,15370.4024483968,17300.0796746591,,93.6443328052949,1309.55967475522,,525.041459170477,,1.43175953125,
European Union,2002,3665762.53459375,4480931.20011777,4485727.99168587,44360.8229432106,525792.596640214,126.206213325199,224827.093016211,10978.9233106337,7276.27990234545,1806.743498084
Finland,2002,65040.9663269036,77885.7074272919,77983.9781706819,856.865245049461,6972.14693607,,4986.72387069402,2.89214349981565,26.112905075,
France,2002,417201.997856197,548271.481894924,549694.025683827,8664.20809841647,78585.1457442384,33.271604938334,38382.0366291159,3756.07120403852,1648.75075797922,
Germany,2002,898834.508615622,1033037.86355548,,7598.21593355129,87213.2558950818,11.437708387,33553.1781502564,868.0692187963,3176.882832485,1782.3152013
Greece,2002,105000.510380002,127719.173425692,,4375.21184185893,12565.2305002924,,5694.39892166058,79.638781878,4.183,
Hungary,2002,59086.0395042691,75478.6317218444,,330.918281830394,11151.7904209767,,4599.77450981901,243.81039409091,66.298610858255,
Iceland,2002,2992.46566578105,4143.91138755989,,44.6470728028209,767.775454015072,,260.771125221764,76.900232239188,1.3518375,
Ireland,2002,46081.5859658651,69975.2004239028,,379.011886245473,16976.7426077517,43.5988,6184.52697154181,243.18657,66.547622498725,
Italy,2002,478001.996915942,567753.080784228,,4754.01728160486,56276.9155981807,28.061000000026,26544.3315910819,1361.50386938044,761.82623125423,24.428296784
Japan,2002,1278787.14984103,1371613.87727925,1375166.4228988,16236.4047826034,35288.3793823117,371.482833062316,25969.859018168,9225.12062296604,5735.48079910655,
Latvia,2002,7521.35506571888,10727.9856086531,10752.9920555417,77.4356884580592,2175.00178456347,,951.493881532636,,2.69918838,
Liechtenstein,2002,220.01827325449,253.612737800679,,4.85649623923306,19.9353699671661,,8.5368734449563,0.01474489483383,0.25098,
Lithuania,2002,12666.0290652584,20626.0696871352,20661.5240236867,34.8853606992726,4312.37303343178,,3612.01431824575,,0.7679095,
Luxembourg,2002,9980.62650987731,10915.3243787282,,37.8429056166234,668.684977183868,,224.891515599217,,3.27847045115,
Malta,2002,2747.22676045548,3046.7919274585,,12.2035845190847,224.824715861891,,60.995344712542,,1.5415219095,
Monaco,2002,99.3821594597016,107.105087792407,107.371856521847,3.05683796688321,1.329202385137,,3.17408972556518,0.0723177,0.09048055512,
